instance,population_size,generations,crossover_rate,mutation_rate,elite_size,tournament_size,stagnation,seed,threads,initial_value,best_value,total_weight,optimal_value,difference,gap_percent,stop_generation,elapsed_s
n_1000_1,80,500,0.9500,0.0100,3,5,50,4,16,9999826041,9999827081,9999821584,9999946233,119152,0.001192,258,0.3756
n_1000_1,80,500,0.9500,0.0100,3,5,50,12,16,9999826005,9999827005,9999821532,9999946233,119228,0.001192,236,0.3326
n_1000_1,80,500,0.9500,0.0100,3,5,50,202,16,9999826150,9999827118,9999821348,9999946233,119115,0.001191,163,0.2339
n_1000_1,80,500,0.9500,0.0100,3,5,100,4,16,9999826041,9999827103,9999821645,9999946233,119130,0.001191,398,0.5883
n_1000_1,80,500,0.9500,0.0100,3,5,100,12,16,9999826005,9999827005,9999821532,9999946233,119228,0.001192,286,0.4124
n_1000_1,80,500,0.9500,0.0100,3,5,100,202,16,9999826150,9999827192,9999821550,9999946233,119041,0.001190,335,0.4636
n_1000_1,80,500,0.9500,0.0100,5,3,50,4,16,9999826041,9999826984,9999821124,9999946233,119249,0.001192,272,0.3829
n_1000_1,80,500,0.9500,0.0100,5,3,50,12,16,9999826005,9999826970,9999821095,9999946233,119263,0.001193,335,0.4610
n_1000_1,80,500,0.9500,0.0100,5,3,50,202,16,9999826150,9999827026,9999821233,9999946233,119207,0.001192,390,0.5432
n_1000_1,80,500,0.9500,0.0100,5,3,100,4,16,9999826041,9999827115,9999821319,9999946233,119118,0.001191,500,0.7034
n_1000_1,80,500,0.9500,0.0100,5,3,100,12,16,9999826005,9999827012,9999821273,9999946233,119221,0.001192,500,0.6989
n_1000_1,80,500,0.9500,0.0100,5,3,100,202,16,9999826150,9999827097,9999821358,9999946233,119136,0.001191,500,0.7139
n_1000_1,80,500,0.9500,0.0100,5,5,50,4,16,9999826041,9999827134,9999821560,9999946233,119099,0.001191,272,0.3714
n_1000_1,80,500,0.9500,0.0100,5,5,50,12,16,9999826005,9999827112,9999821603,9999946233,119121,0.001191,259,0.3509
n_1000_1,80,500,0.9500,0.0100,5,5,50,202,16,9999826150,9999827000,9999821495,9999946233,119233,0.001192,355,0.4989
n_1000_1,80,500,0.9500,0.0100,5,5,100,4,16,9999826041,9999827134,9999821560,9999946233,119099,0.001191,322,0.4533
n_1000_1,80,500,0.9500,0.0100,5,5,100,12,16,9999826005,9999827112,9999821603,9999946233,119121,0.001191,309,0.4232
n_1000_1,80,500,0.9500,0.0100,5,5,100,202,16,9999826150,9999827039,9999821592,9999946233,119194,0.001192,500,0.7100
n_1000_1,100,300,0.8500,0.0050,3,3,50,4,16,9999826041,9999827113,9999821480,9999946233,119120,0.001191,282,0.5043
n_1000_1,100,300,0.8500,0.0050,3,3,50,12,16,9999826005,9999827071,9999821667,9999946233,119162,0.001192,300,0.5499
n_1000_1,100,300,0.8500,0.0050,3,3,50,202,16,9999826150,9999827124,9999821426,9999946233,119109,0.001191,272,0.4928
n_1000_1,100,300,0.8500,0.0050,3,3,100,4,16,9999826041,9999827126,9999821584,9999946233,119107,0.001191,300,0.5322
n_1000_1,100,300,0.8500,0.0050,3,3,100,12,16,9999826005,9999827071,9999821667,9999946233,119162,0.001192,300,0.5522
n_1000_1,100,300,0.8500,0.0050,3,3,100,202,16,9999826150,9999827138,9999821441,9999946233,119095,0.001191,300,0.5221
n_1000_1,100,300,0.8500,0.0050,3,5,50,4,16,9999826041,9999827203,9999821677,9999946233,119030,0.001190,300,0.5367
n_1000_1,100,300,0.8500,0.0050,3,5,50,12,16,9999826005,9999827151,9999821650,9999946233,119082,0.001191,300,0.5492
n_1000_1,100,300,0.8500,0.0050,3,5,50,202,16,9999826150,9999827214,9999821669,9999946233,119019,0.001190,300,0.5537
